file,marker,count
idaes/apps/uncertainty_propagation/tests/test_uncertainties.py,xfail,1
idaes/commands/tests/test_commands.py,integration,6
idaes/commands/tests/test_commands.py,parametrize,1
idaes/commands/tests/test_commands.py,skipif,1
idaes/commands/tests/test_commands.py,unit,7
idaes/commands/util/tests/test_download_bin.py,parametrize,4
idaes/commands/util/tests/test_download_bin.py,unit,18
idaes/conftest.py,linux,1
idaes/conftest.py,nowin32,1
idaes/core/base/tests/test_components.py,unit,65
idaes/core/base/tests/test_control_volume_0d.py,unit,113
idaes/core/base/tests/test_control_volume_0d_legacy_scaling.py,unit,6
idaes/core/base/tests/test_control_volume_0d_scaler_object.py,unit,5
idaes/core/base/tests/test_control_volume_1d.py,unit,139
idaes/core/base/tests/test_control_volume_1d_legacy_scaling.py,unit,6
idaes/core/base/tests/test_control_volume_1d_scaler_object.py,unit,11
idaes/core/base/tests/test_control_volume_base.py,unit,41
idaes/core/base/tests/test_costing_base.py,unit,33
idaes/core/base/tests/test_extended_control_volume_0d.py,unit,7
idaes/core/base/tests/test_extended_control_volume_1d.py,unit,7
idaes/core/base/tests/test_flowsheet_model.py,filterwarnings,1
idaes/core/base/tests/test_flowsheet_model.py,unit,36
idaes/core/base/tests/test_phases.py,unit,12
idaes/core/base/tests/test_process_base.py,unit,11
idaes/core/base/tests/test_process_block.py,unit,6
idaes/core/base/tests/test_property_base.py,unit,31
idaes/core/base/tests/test_property_meta.py,parametrize,1
idaes/core/base/tests/test_property_meta.py,unit,18
idaes/core/base/tests/test_property_set.py,unit,38
idaes/core/base/tests/test_reaction_base.py,unit,24
idaes/core/base/tests/test_unit_model.py,unit,36
idaes/core/base/tests/test_var_like_expression.py,unit,2
idaes/core/initialization/tests/test_block_triangularization.py,component,4
idaes/core/initialization/tests/test_block_triangularization.py,unit,1
idaes/core/initialization/tests/test_general_hierarchical.py,unit,11
idaes/core/initialization/tests/test_initialize_from_data.py,component,1
idaes/core/initialization/tests/test_initialize_from_data.py,unit,1
idaes/core/initialization/tests/test_initializer_base.py,unit,45
idaes/core/plugins/tests/test_eq_elim.py,unit,6
idaes/core/plugins/tests/test_replace_vars.py,unit,11
idaes/core/scaling/tests/test_arc_constraint_scaler.py,parametrize,1
idaes/core/scaling/tests/test_arc_constraint_scaler.py,unit,4
idaes/core/scaling/tests/test_autoscaling.py,unit,24
idaes/core/scaling/tests/test_custom_scaler_base.py,unit,61
idaes/core/scaling/tests/test_custom_scaling_integration.py,integration,12
idaes/core/scaling/tests/test_nominal_value_walker.py,component,1
idaes/core/scaling/tests/test_nominal_value_walker.py,skipif,3
idaes/core/scaling/tests/test_nominal_value_walker.py,unit,103
idaes/core/scaling/tests/test_scaling_base.py,unit,12
idaes/core/scaling/tests/test_scaling_profiler.py,integration,2
