file,line,class,method,owner,message
idaes/models/properties/modular_properties/eos/eos_base.py,48,EoSBase,calculate_scaling_factors,EoSBase.calculate_scaling_factors,"NotImplementedError(_msg(b, 'calculate_scaling_factors'))"
idaes/models/properties/modular_properties/eos/eos_base.py,52,EoSBase,build_parameters,EoSBase.build_parameters,"NotImplementedError(_msg(b, 'build_parameters'))"
idaes/models/properties/modular_properties/eos/eos_base.py,60,EoSBase,build_critical_properties,EoSBase.build_critical_properties,"NotImplementedError(_msg(b, 'build_critical_properties'))"
idaes/models/properties/modular_properties/eos/eos_base.py,72,EoSBase,list_critical_property_constraint_names,EoSBase.list_critical_property_constraint_names,NotImplementedError('Equation of State module has not implemented a method for list_critical_property_constraint_names. Please contact the EoS developer or u...
idaes/models/properties/modular_properties/eos/eos_base.py,104,EoSBase,act_phase_comp,EoSBase.act_phase_comp,"NotImplementedError(_msg(b, 'act_phase_comp'))"
idaes/models/properties/modular_properties/eos/eos_base.py,108,EoSBase,act_phase_comp_true,EoSBase.act_phase_comp_true,"NotImplementedError(_msg(b, 'act_phase_comp_true'))"
idaes/models/properties/modular_properties/eos/eos_base.py,112,EoSBase,act_phase_comp_appr,EoSBase.act_phase_comp_appr,"NotImplementedError(_msg(b, 'act_phase_comp_appr'))"
idaes/models/properties/modular_properties/eos/eos_base.py,116,EoSBase,act_coeff_phase_comp,EoSBase.act_coeff_phase_comp,"NotImplementedError(_msg(b, 'act_coeff_phase_comp'))"
idaes/models/properties/modular_properties/eos/eos_base.py,120,EoSBase,act_coeff_phase_comp_true,EoSBase.act_coeff_phase_comp_true,"NotImplementedError(_msg(b, 'act_coeff_phase_comp_true'))"
idaes/models/properties/modular_properties/eos/eos_base.py,124,EoSBase,act_coeff_phase_comp_appr,EoSBase.act_coeff_phase_comp_appr,"NotImplementedError(_msg(b, 'act_coeff_phase_comp_appr'))"
idaes/models/properties/modular_properties/eos/eos_base.py,128,EoSBase,cp_mol_phase,EoSBase.cp_mol_phase,"NotImplementedError(_msg(b, 'cp_mol_phase'))"
idaes/models/properties/modular_properties/eos/eos_base.py,132,EoSBase,cp_mol_phase_comp,EoSBase.cp_mol_phase_comp,"NotImplementedError(_msg(b, 'cp_mol_phase_comp'))"
idaes/models/properties/modular_properties/eos/eos_base.py,136,EoSBase,cv_mol_phase,EoSBase.cv_mol_phase,"NotImplementedError(_msg(b, 'cv_mol_phase'))"
idaes/models/properties/modular_properties/eos/eos_base.py,140,EoSBase,cv_mol_phase_comp,EoSBase.cv_mol_phase_comp,"NotImplementedError(_msg(b, 'cv_mol_phase_comp'))"
idaes/models/properties/modular_properties/eos/eos_base.py,166,EoSBase,dens_mass_phase,EoSBase.dens_mass_phase,"NotImplementedError(_msg(b, 'dens_mass_phase'))"
idaes/models/properties/modular_properties/eos/eos_base.py,170,EoSBase,dens_mol_phase,EoSBase.dens_mol_phase,"NotImplementedError(_msg(b, 'dens_mol_phase'))"
idaes/models/properties/modular_properties/eos/eos_base.py,174,EoSBase,energy_internal_mol_phase,EoSBase.energy_internal_mol_phase,"NotImplementedError(_msg(b, 'energy_internal_mol_phase'))"
idaes/models/properties/modular_properties/eos/eos_base.py,178,EoSBase,energy_internal_mol_phase_comp,EoSBase.energy_internal_mol_phase_comp,"NotImplementedError(_msg(b, 'energy_internal_mol_phase_comp'))"
idaes/models/properties/modular_properties/eos/eos_base.py,261,EoSBase,enth_mol_phase,EoSBase.enth_mol_phase,"NotImplementedError(_msg(b, 'enth_mol_phase'))"
idaes/models/properties/modular_properties/eos/eos_base.py,265,EoSBase,enth_mol_phase_comp,EoSBase.enth_mol_phase_comp,"NotImplementedError(_msg(b, 'enth_mol_phase_comp'))"
idaes/models/properties/modular_properties/eos/eos_base.py,269,EoSBase,entr_mol_phase,EoSBase.entr_mol_phase,"NotImplementedError(_msg(b, 'entr_mol_phase'))"
